FIPS,vaccgivenpercaptia,Hesitancy,dosewastedpercapita,vacc_complete,Census2019,vaccnum,UrbRur,demrep,demv,repv,mystate
13113,1.772253345,0.11,0.447592662,89,114421,73104,2,Republican,33062,37956,GA
13115,1.152591931,0.16,0.28581291,89,98498,42925,4,Republican,11917,28906,GA
13117,1.451517285,0.1,0.387374515,89,244252,132691,2,Republican,42208,85123,GA
13119,0.956229389,0.17,0.154481991,89,23349,8619,6,Republican,1593,9069,GA
13121,1.601359855,0.11,0.134887686,89,1063937,619027,1,Democrate,380212,137247,GA
13123,1.143963786,0.17,0.620453314,89,31369,13136,6,Republican,2932,13429,GA
13125,0.87176035,0.16,0,89,2971,1002,6,Republican,155,1402,GA
13127,1.412793697,0.15,0.273308165,89,85292,44904,4,Republican,15882,25617,GA
13129,1.005244725,0.17,0.17055708,89,57963,22289,5,Republican,4384,19405,GA
13131,1.158445987,0.18,0.687411196,89,24633,11077,6,Republican,3619,7034,GA
13133,1.557847632,0.15,1.762388125,89,18324,10256,6,Republican,4087,7066,GA
13135,1.507649666,0.12,0.213728171,89,936250,529169,2,Democrate,241994,166400,GA
13137,1.078803389,0.17,0.369352277,89,45328,18565,5,Republican,3562,16637,GA
13139,1.223418982,0.15,0.320923885,89,204441,94655,4,Republican,25033,64183,GA
13141,1.347995743,0,0,89,8457,4191,5,Democrate,2976,1154,GA
13143,0.888023631,0.16,0.169005102,89,29792,10152,2,Republican,1791,12330,GA
13145,1.332898172,0.16,0.063571347,89,35236,17546,3,Republican,5457,14319,GA
13147,1.06800229,0.17,0.386300324,89,26205,10262,6,Republican,3157,9465,GA
13149,0.767172691,0.17,0.574016607,89,11923,3473,2,Republican,824,4519,GA
13151,1.219580408,0.14,0.169316297,89,234561,106922,2,Democrate,73443,48259,GA
13153,1.375591494,0.14,0.327885572,89,157863,82005,4,Republican,32239,41540,GA
13155,0.948704333,0,0,89,9416,3529,6,Republican,1008,3134,GA
13157,1.147320389,0.16,0.070049468,89,72977,31560,5,Republican,7642,29502,GA
13159,0.949926155,0.16,1.691609818,89,14219,5093,2,Republican,1761,5822,GA
13161,0.808931525,0,0,89,15115,4792,6,Republican,1028,4695,GA
13163,1.440502539,0.16,0.128043224,89,15362,8463,6,Democrate,4058,3537,GA
13165,1.016136468,0,0,89,8676,3353,6,Republican,1266,2161,GA
13167,0.939541636,0.17,0.368142694,89,9643,3474,5,Republican,1222,2850,GA
13169,1.171706978,0.15,0.157055855,89,28735,12895,4,Republican,4882,9940,GA
13171,0.959846936,0.17,0.334853488,89,19077,6777,2,Republican,2620,6331,GA
13173,0.721481339,0.19,0.38376667,89,10423,2901,4,Republican,1019,2509,GA
13175,1.237559416,0.17,0.284061751,89,47546,22717,5,Republican,8074,14493,GA
13177,1.237596692,0,0,89,29992,14232,4,Republican,4558,12007,GA
13179,1.736778709,0.16,0.16161797,89,61435,42048,4,Democrate,13104,7959,GA
13181,1.252745865,0.16,0.074233051,89,7921,3744,3,Republican,1432,3173,GA
13183,0.574978271,0,0,89,19559,4352,4,Republican,2035,3527,GA
13185,1.063966066,0.16,0.08066879,89,117406,48173,4,Republican,20116,25692,GA
13187,0.954507587,0,0,89,33610,11863,6,Republican,3126,12163,GA
13189,1.188907658,0,0,89,21312,9792,3,Republican,4168,6169,GA
13191,1.132007233,0.15,0.039157045,89,14378,6080,4,Republican,2612,4016,GA
13193,1.173167529,0.16,0.311964162,89,12947,5728,6,Democrate,2858,1783,GA
13195,1.170046854,0.15,0.031927711,89,29880,13195,4,Republican,3411,11326,GA
13197,1.149898313,0.16,0.348845556,89,8359,3557,3,Republican,1312,2275,GA
13199,1.125147635,0.17,0.618604431,89,21167,9044,2,Republican,4287,6524,GA
13201,1.43389297,0,0,89,5718,3176,6,Republican,748,2066,GA
13205,1.284087271,0,0,89,21863,10738,6,Republican,3993,4935,GA
13207,1.143955327,0,0,89,27578,11874,4,Republican,4385,11057,GA
13209,0.961622329,0.19,0.344090711,89,9172,3371,5,Republican,980,2960,GA
13211,1.231012658,0,0,89,19276,8937,2,Republican,3353,8231,GA
13213,0.988377893,0,0,89,40096,15211,4,Republican,2301,12944,GA
13215,1.254105604,0.15,0.341535177,89,195769,90788,3,Democrate,49446,30107,GA
13217,1.158120347,0.15,0.244460553,89,111744,48430,2,Democrate,29789,23869,GA
13219,1.591608739,0,0,89,40280,23539,4,Republican,8162,16595,GA
13221,1.161937217,0.15,0.336653778,89,15259,6592,4,Republican,2439,5592,GA
13223,0.996573129,0.17,0.07214215,89,168667,64629,2,Republican,29695,54517,GA
13225,1.23466202,0,0,89,27546,12813,4,Republican,5922,6506,GA
13227,1.180939523,0,0,89,32591,13828,2,Republican,2824,14110,GA
13229,0.877472386,0.19,0.254559466,89,19465,6666,5,Republican,1100,7898,GA
13231,0.875382344,0,0,89,18962,6298,2,Republican,1505,9127,GA
13233,1.039940863,0,0,89,42613,16995,5,Republican,3657,13587,GA
13235,0.998024603,0,0,89,11137,4239,4,Republican,1230,2815,GA
13237,1.179709752,0,0,89,22119,9770,6,Republican,3448,8291,GA
13239,0.92953458,0,0,89,2299,796,6,Republican,497,604,GA
13241,1.303787127,0.15,0.737468635,89,17137,8116,6,Republican,1984,7474,GA
13243,1.295809973,0,0,89,6778,3246,6,Democrate,1671,1390,GA
13245,1.336123209,0.16,0.061624152,89,202518,103692,3,Democrate,59119,26780,GA
13247,1.416497976,0,0,89,90896,47291,2,Democrate,31237,13014,GA
13249,0.929998098,0.16,0.276773825,89,5257,1882,5,Republican,462,1800,GA
13251,1.321137047,0.16,0.077115853,89,13966,6885,6,Republican,2661,3915,GA
13253,1.213720643,0,0,89,8090,3772,6,Republican,1256,2613,GA
13255,1.111584187,0,0,89,66703,27643,2,Republican,11828,18104,GA
13257,1.140867888,0,0,89,25925,10982,5,Republican,2386,9367,GA
13259,0.917082012,0.16,0.216734632,89,6621,2207,6,Democrate,1182,801,GA
13261,1.430158515,0.16,0.299417423,89,29524,15747,5,Democrate,6314,5733,GA
13263,1.330912026,0.16,0.321549637,89,6195,3067,6,Democrate,2114,1392,GA
13265,1.407937541,0.16,2.498373455,89,1537,794,6,Democrate,561,360,GA
13267,0.885193388,0,0,89,25286,8512,6,Republican,2062,6054,GA
13269,1.238653367,0.16,0,89,8020,3744,6,Republican,1388,2420,GA
13271,0.780580076,0.19,0,89,15860,4756,6,Republican,1488,2825,GA
13273,1.570859219,0,0,89,8531,5059,4,Democrate,2376,2004,GA
13275,1.33301838,0.16,0.058536366,89,44451,22260,5,Republican,8708,12969,GA
13277,1.091354197,0.17,0.071203622,89,40644,16896,5,Republican,5318,10784,GA
13279,1.113156914,0,0,89,26830,11491,5,Republican,2938,7873,GA
13281,1.39486583,0.15,0.482512254,89,12037,6027,6,Republican,1550,6384,GA
13283,0.939284162,0,0,89,6901,2486,6,Republican,952,2101,GA
13285,0.999184806,0,0,89,69922,26501,5,Republican,11577,18142,GA
13287,1.313963682,0,0,89,7985,4084,6,Republican,1409,2349,GA
13289,1.437438424,0.15,0.176970443,89,8120,4478,4,Republican,2044,2370,GA
13291,1.291868957,0,0,89,24511,11441,6,Republican,2800,12650,GA
13293,1.249278116,0.17,0.281155015,89,26320,12192,5,Republican,4203,8606,GA
13295,1.135648858,0.17,0.110821232,89,69761,29967,3,Republican,5770,23173,GA
13297,1.115315087,0.16,0.140285222,89,94593,40120,2,Republican,12683,37839,GA
13299,1.029579672,0.19,0.319023899,89,35734,14086,5,Republican,4169,9903,GA
13301,1.295393986,0,0,89,5254,2588,6,Democrate,1468,1166,GA
13303,1.201973103,0,0,89,20374,9168,6,Democrate,4743,4668,GA
13305,1.10559027,0.19,0.371503993,89,29927,12873,5,Republican,2688,9987,GA
13307,1.209052551,0,0,89,2607,1165,6,Republican,640,748,GA
13309,0.699299809,0,0,89,7855,2131,6,Republican,689,1583,GA
13311,0.994090525,0,0,89,30798,11249,6,Republican,2411,12222,GA
13313,1.154643117,0.15,0.137754712,89,104628,46512,4,Republican,10680,25644,GA
13315,0.950434279,0,0,89,8635,3215,6,Republican,861,2402,GA
13317,1.284443081,0,0,89,9777,4822,6,Republican,2160,2823,GA
